Модель,Цена,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,Cinebench R20,wPrime 32(-),"x264, проход 1","x264, проход 2"
AMD Ryzen 5 2600 OEM,10899,157.28,1248.24,2793.0,5.5,205.3,74.96
AMD Ryzen 5 3600 OEM,18099,,,,,,
Intel Core i5-10400F OEM,14399,180.0,1332.0,3201.0,6.25,228.5,81.2
AMD Ryzen 7 2700 OEM,12999,161.0,1551.0,,5.14,195.71,89.72
AMD Ryzen 5 3600X OEM,18799,,,,,,
Intel Core i7-10700K OEM,33999,208.0,2027.0,4882.0,3.18,269.0,121.0
Intel Core i5-9400F OEM,12399,173.0,984.0,2378.0,6.76,234.0,64.0
AMD Ryzen 7 2700X BOX,17399,175.67,1761.73,3944.0,3.48,226.7,104.5
AMD Ryzen 5 3500X OEM,12599,,,,,,
Intel Core i5-9600KF OEM,16599,193.0,1094.0,,6.03,250.0,68.75
Intel Core i7-10700 OEM,30299,,,,,,
Intel Core i5-10600K OEM,23799,205.0,1452.0,3443.0,4.65,251.5,88.15
Intel Core i7-10700F OEM,27999,,,,,,
Intel Core i3-9100F OEM,8599,171.0,634.0,1175.0,11.81,218.0,44.35
AMD Ryzen 9 3900X BOX,42999,204.95,3033.37,6910.0,2.69,267.5,147.0
AMD Ryzen 5 3500 OEM,11999,,,,,,
AMD Ryzen 7 3800X OEM,31299,,,,,,
AMD Ryzen 7 3700X OEM,27799,204.0,2092.0,4782.0,3.71,269.5,115.0
AMD Ryzen 7 PRO 2700 OEM,12699,,,,,,
Intel Core i7-10700KF OEM,32799,208.0,2027.0,4882.0,3.18,269.0,121.0
AMD Ryzen 3 3100 OEM,8199,178.0,991.0,2282.0,6.58,202.5,58.6
Intel Core i5-10600 OEM,20299,,,,,,
AMD Ryzen 5 2600X OEM,12399,163.0,1341.0,2688.0,4.62,207.4,80.5
AMD A8-9600 OEM,3099,,,,,,
AMD Ryzen 5 3400G OEM,12499,,,,,,
Intel Core i3-10100 OEM,10299,181.0,895.0,2181.0,6.34,212.5,55.8
Intel Core i5-10400 OEM,15999,,,,,,
Intel Core i7-9700K OEM,25099,205.5,1449.0,,4.49,270.0,94.85
Intel Core i9-10900K OEM,47599,217.0,2533.0,6181.0,3.58,289.5,149.0
Intel Core i7-9700F OEM,24899,199.0,1254.0,2892.0,4.79,247.5,77.55
Intel Core i5-9600K OEM,19199,193.0,1094.0,,6.03,250.0,68.75
Intel Core i5-9400 OEM,14999,,,,,,
Intel Core i7-9700 OEM,25899,199.0,1254.0,2892.0,4.79,247.5,77.55
Intel Pentium Gold G5420 OEM,5299,,,,,,
Intel Core i9-9900K OEM,37299,212.0,1979.0,4871.0,3.58,260.5,114.25
AMD Ryzen 9 3950X BOX,68999,209.0,4002.0,9075.0,4.11,265.0,168.0
AMD Athlon 200GE OEM,3499,,,,,,
Intel Core i7-9700KF OEM,27999,205.5,1449.0,,4.49,270.0,94.85
Intel Core i9-10900 OEM,40999,,,,,,
Intel Core i5-10600KF OEM,21599,205.0,1452.0,3443.0,4.65,251.5,88.15
Intel Core i5-10500 OEM,17899,,,,,,
Intel Core i9-10850K OEM,40999,,,,,,
Intel Core i9-10900F OEM,38899,,,,,,
Intel Pentium G4560 OEM,5599,,,,,,
AMD Ryzen 9 3900XT OEM,44499,,,,,,
Intel Core i5-10400 OEM,15999,,,,,,
Intel Core i9-9900KF BOX,36299,212.0,1979.0,4871.0,3.58,260.5,114.25
Intel Core i3-10100F OEM,8599,,,,,,
AMD Ryzen 7 PRO 3700 OEM,24299,,,,,,
Intel Core i5-9400 OEM,14999,,,,,,
AMD Ryzen 7 3800XT OEM,35499,219.0,2230.0,5120.0,3.74,271.0,119.0
AMD Athlon X4 840 OEM,1599,,,,,,
AMD Ryzen 5 3600XT OEM,22499,,,,,,
Intel Core i7-8700 OEM,25499,192.0,1199.0,,6.77,234.64,75.2
AMD Ryzen 5 2500X OEM,10299,,,,,,
Intel Core i5-9500F OEM,13999,,,,,,
Intel Core i5-8400 OEM,14999,169.5,941.0,,6.2,223.8,61.4
Intel Pentium Gold G6400 OEM,5699,,,,,,
Intel Core i9-10900KF OEM,45999,217.0,2533.0,6181.0,3.58,289.5,149.0
Intel Core i9-10900X BOX,53999,,,,,,
Intel Core i5-9500 BOX,18999,,,,,,
AMD Ryzen 5 3350G OEM,10999,,,,,,
Intel Core i9-10940X OEM,71499,,,,,,
Intel Celeron G4930 OEM,3099,,,,,,
Intel Core i9-10920X BOX,62999,,,,,,
AMD A6-7480 OEM,2299,,,,,,
Intel Core i3-10300 BOX,14299,,,,,,
Intel Core i3-10320 OEM,14599,,,,,,
Intel Celeron G5920 BOX,3999,,,,,,
Intel Celeron G5900 OEM,3299,,,,,,
AMD Ryzen Threadripper 1900X BOX,15899,,,,,,
AMD Ryzen Threadripper 2970WX BOX,85999,173.0,4376.0,10000.0,4.16,202.0,116.5
Intel Celeron G5905 OEM,3499,,,,,,
Intel Pentium Gold G6500 OEM,7299,,,,,,
Intel Celeron G3930 BOX,4499,,,,,,
Intel Pentium Gold G6600 OEM,8299,,,,,,
Intel Core i5-6500 BOX,18499,146.5,541.5,,10.6,174.5,36.1
